solver,timeout_seconds,year,category,instance_name,cost
nuwls,60,2020,ms,compas_train_4_DNF_5_1.wcnf,2176.0
nuwls,60,2020,ms,heart_train_0_CNF_5_1.wcnf,47.0
nuwls,60,2020,ms,heart_train_4_CNF_5_1.wcnf,45.0
nuwls,60,2020,ms,heart_train_1_DNF_3_1.wcnf,46.0
nuwls,60,2020,ms,ionosphere_train_1_CNF_3_1.wcnf,22.0
nuwls,60,2020,ms,credit_train_0_CNF_2_1.wcnf,4865.0
nuwls,60,2020,ms,credit_train_4_CNF_5_1.wcnf,4869.0
nuwls,60,2020,ms,tictactoe_train_6_CNF_4_1.wcnf,118.0
nuwls,60,2020,ms,ionosphere_train_1_CNF_4_1.wcnf,23.0
nuwls,60,2020,ms,toms_test_1_DNF_2_1.wcnf,60.0
nuwls,60,2020,ms,credit_train_1_CNF_3_1.wcnf,4869.0
nuwls,60,2020,ms,credit_train_6_DNF_3_1.wcnf,4888.0
nuwls,60,2020,ms,twitter_test_1_CNF_2_1.wcnf,198.0
nuwls,60,2020,ms,wdbc_train_7_DNF_5_1.wcnf,21.0
nuwls,60,2020,ms,cnf.19.p.10.wcnf,inf
nuwls,60,2020,ms,cnf.20.p.10.wcnf,inf
nuwls,60,2020,ms,cnf.20.p.8.wcnf,inf
nuwls,60,2020,ms,AES1-76-36.wcnf,inf
nuwls,60,2020,ms,toms_train_4_DNF_5_1.wcnf,645.0
nuwls,60,2020,ms,scpclr11_maxsat.wcnf,23.0
nuwls,60,2020,ms,AES2-72-67.wcnf,inf
nuwls,60,2020,ms,toms_train_1_CNF_2_1.wcnf,725.0
nuwls,60,2020,ms,AES1-76-38.wcnf,inf
nuwls,60,2020,ms,scpclr12_maxsat.wcnf,23.0
nuwls,60,2020,ms,scpclr13_maxsat.wcnf,23.0
nuwls,60,2020,ms,scpcyc06_maxsat.wcnf,60.0
nuwls,60,2020,ms,scpcyc07_maxsat.wcnf,144.0
nuwls,60,2020,ms,scpcyc08_maxsat.wcnf,344.0
nuwls,60,2020,ms,scpcyc09_maxsat.wcnf,805.0
nuwls,60,2020,ms,scpcyc10_maxsat.wcnf,1836.0
nuwls,60,2020,ms,scpcyc11_maxsat.wcnf,4281.0
nuwls,60,2020,ms,atcoss_mesat_03.wcnf,inf
nuwls,60,2020,ms,atcoss_mesat_04.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_05.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_02.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_10.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_03.wcnf,inf
nuwls,60,2020,ms,atcoss_mesat_02.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_15.wcnf,inf
nuwls,60,2020,ms,cnf_small.wcnf,54.0
nuwls,60,2020,ms,atcoss_sugar_04.wcnf,inf
nuwls,60,2020,ms,atcoss_mesat_05.wcnf,inf
nuwls,60,2020,ms,atcoss_sugar_18.wcnf,inf
nuwls,60,2020,ms,cnf_10.wcnf,124.0
nuwls,60,2020,ms,atcoss_mesat_15.wcnf,inf
nuwls,60,2020,ms,atcoss_mesat_10.wcnf,inf
nuwls,60,2020,ms,atcoss_mesat_18.wcnf,inf
nuwls,60,2020,ms,GenHyperTW_aim-50-2_0-yes1-3.wcnf,13.0
nuwls,60,2020,ms,cnf_12.wcnf,148.0
nuwls,60,2020,ms,GenHyperTW_dubois24.wcnf,4.0
nuwls,60,2020,ms,GenHyperTW_grid4d_3.wcnf,7.0
nuwls,60,2020,ms,GenHyperTW_atv_partial_system.wcnf,13.0
nuwls,60,2020,ms,GenHyperTW_hole6.wcnf,7.0
nuwls,60,2020,ms,GenHyperTW_flat30-50.wcnf,20.0
nuwls,60,2020,ms,AMAZON.wcnf,60792.0
nuwls,60,2020,ms,GenHyperTW_hole9.wcnf,15.0
nuwls,60,2020,ms,DBLP.wcnf,62371.0
nuwls,60,2020,ms,GenHyperTW_par8-5-c.wcnf,14.0
nuwls,60,2020,ms,Q13_OPTIONS_1.wcnf,inf
nuwls,60,2020,ms,Q22_OPTIONS_1.wcnf,inf
nuwls,60,2020,ms,YOUTUBE.wcnf,92477.0
nuwls,60,2020,ms,d4.wcnf,7366.0
nuwls,60,2020,ms,gen_add_4_carry_33.wcnf,188.0
nuwls,60,2020,ms,gen_cvc-add7to3_9999.wcnf,193.0
nuwls,60,2020,ms,gen_mult_3_6_9999.wcnf,62.0
nuwls,60,2020,ms,gen_mult_3_5_9999.wcnf,59.0
nuwls,60,2020,ms,gen_mult_4_5_33.wcnf,730.0
nuwls,60,2020,ms,gen_mult_4_5_399.wcnf,730.0
nuwls,60,2020,ms,pesp_18Min.wcnf,532.0
nuwls,60,2020,ms,gen_mult_4_5_9999.wcnf,200.0
nuwls,60,2020,ms,gen_mult_4_5_991.wcnf,126.0
nuwls,60,2020,ms,pesp_5min.wcnf,93.0
nuwls,60,2020,ms,gen_mult_4_6_991.wcnf,156.0
nuwls,60,2020,ms,gen_mult_5_5_9999.wcnf,520.0
nuwls,60,2020,ms,gen_mult_4_6_9999.wcnf,412.0
nuwls,60,2020,ms,gen_mult_4_7_991.wcnf,179.0
nuwls,60,2020,ms,gen_mult_5_5_991.wcnf,256.0
nuwls,60,2020,ms,gen_mult_5_5_399.wcnf,2300.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_150_0.05_2_8_4.wcnf,4.0
nuwls,60,2020,ms,gen_square_5_9999.wcnf,58.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_150_0.1_2_8_2.wcnf,10.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_1_10_0.wcnf,10.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,17.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_2_10_2.wcnf,13.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_1_10_2.wcnf,19.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_3_10_0.wcnf,15.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_3_10_1.wcnf,12.0
nuwls,60,2020,ms,we.wcnf,inf
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_4_10_1.wcnf,15.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_4_10_2.wcnf,14.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.05_4_10_3.wcnf,15.0
nuwls,60,2020,ms,extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,10.0
nuwls,60,2020,ms,MultiDay_1.wcnf,75034.0
nuwls,60,2020,ms,MultiDay_3.wcnf,155200.0
nuwls,60,2020,ms,SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.2.wcnf,inf
nuwls,60,2020,ms,SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.3.wcnf,inf
nuwls,60,2020,ms,TWComp_1dp_N76.wcnf,30.0
nuwls,60,2020,ms,TWComp_queen5_5_N25.wcnf,18.0
nuwls,60,2020,ms,TWComp_queen6_6_N36.wcnf,27.0
nuwls,60,2020,ms,TWComp_1c75_N69.wcnf,35.0
nuwls,60,2020,ms,TWComp_myciel5_N47.wcnf,19.0
nuwls,60,2020,ms,TWComp_queen7_7_N49.wcnf,37.0
nuwls,60,2020,ms,SAT11__application__fuhs__AProVE11__AProVE11-10.cnf.wcnf.3.wcnf,inf
nuwls,60,2020,ms,TWComp_1dj7_N73.wcnf,27.0
nuwls,60,2020,ms,MANN_a81.clq.wcnf,399.0
nuwls,60,2020,ms,SingleDay_37.wcnf,82391.0
nuwls,60,2020,ms,TWComp_mulsol.i.5-pp_N119.wcnf,32.0
nuwls,60,2020,ms,s38584_nan_explicit_8_0.wcnf,269.0
nuwls,60,2020,ms,brock400_1.clq.wcnf,375.0
nuwls,60,2020,ms,s38584_nan_explicit_9_0.wcnf,277.0
nuwls,60,2020,ms,MultiDay_4.wcnf,187963.0
nuwls,60,2020,ms,brock400_4.clq.wcnf,367.0
nuwls,60,2020,ms,s38584_nan_explicit_2_0.wcnf,241.0
nuwls,60,2020,ms,brock800_2.clq.wcnf,779.0
nuwls,60,2020,ms,p_hat1000-1.clq.wcnf,990.0
nuwls,60,2020,ms,s38584_nan_explicit_7_0.wcnf,239.0
nuwls,60,2020,ms,p_hat300-3.clq.wcnf,264.0
nuwls,60,2020,ms,p_hat1000-3.clq.wcnf,932.0
nuwls,60,2020,ms,p_hat500-3.clq.wcnf,450.0
nuwls,60,2020,ms,p_hat700-1.clq.wcnf,689.0
nuwls,60,2020,ms,p_hat700-3.clq.wcnf,638.0
nuwls,60,2020,ms,SAT11__application__rintanen__SATPlanning__blocks-blocks-36-0.170-NOTKNOWN.cnf.wcnf.6.wcnf,48.0
nuwls,60,2020,ms,sanr400_0.7.clq.wcnf,379.0
nuwls,60,2020,ms,b14_C-mbd14-0277.wcnf,43.0
nuwls,60,2020,ms,b14_C-mbd14-0337.wcnf,29.0
nuwls,60,2020,ms,b14_C-mbd14-0388.wcnf,32.0
nuwls,60,2020,ms,b21_C-mbd14-0218.wcnf,50.0
nuwls,60,2020,ms,b21_C-mbd14-0322.wcnf,49.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr11-plb100.wcnf,76.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr10-plb100.wcnf,72.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr12-plb100.wcnf,76.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr13-plb100.wcnf,76.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr14-plb100.wcnf,68.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr6-plb100.wcnf,66.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr8-plb100.wcnf,67.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr11-plb100.wcnf,71.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr13-plb100.wcnf,74.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr12-plb100.wcnf,69.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr10-plb100.wcnf,67.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr14-plb100.wcnf,74.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr5-plb100.wcnf,65.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr6-plb100.wcnf,66.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr9-plb100.wcnf,74.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr7-plb100.wcnf,67.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr8-plb100.wcnf,63.0
nuwls,60,2020,ms,uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr9-plb100.wcnf,63.0
nuwls,60,2020,ms,SU-100kb__simp-genos.haps.1.wcnf,54.0
nuwls,60,2020,ms,SU-100kb__simp-genos.haps.12.wcnf,67.0
nuwls,60,2020,ms,SU-100kb__simp-genos.haps.22.wcnf,65.0
nuwls,60,2020,ms,SU-100kb__simp-genos.haps.21.wcnf,58.0
nuwls,60,2020,ms,SU3__simp-genos.haps.63.wcnf,91.0
nuwls,60,2020,ms,SU-100kb__simp-genos.haps.3.wcnf,56.0
nuwls,60,2020,ms,SU3__simp-genos.haps.80.wcnf,104.0
nuwls,60,2020,ms,SU3__simp-genos.haps.9.wcnf,106.0
nuwls,60,2020,ms,normalized-ex1010.pi.wcnf,247.0
nuwls,60,2020,ms,normalized-fir08_area_opers.wcnf,55.0
nuwls,60,2020,ms,normalized-g125.18.wcnf,2231.0
nuwls,60,2020,ms,normalized-par32-1.wcnf,inf
nuwls,60,2020,ms,normalized-par32-3-c.wcnf,inf
nuwls,60,2020,ms,normalized-test4.pi.wcnf,98.0
nuwls,60,2020,ms,normalized-par32-1.opb.msat.wcnf,inf
nuwls,60,2020,ms,normalized-par32-3.opb.msat.wcnf,inf
nuwls,60,2020,ms,normalized-g100x100.opb.msat.wcnf,2077.0
nuwls,60,2020,ms,normalized-par32-2.opb.msat.wcnf,inf
nuwls,60,2020,ms,ram_k3_n13.ra0.wcnf,16.0
nuwls,60,2020,ms,ram_k3_n12.ra0.wcnf,10.0
nuwls,60,2020,ms,normalized-par32-5.opb.msat.wcnf,inf
nuwls,60,2020,ms,normalized-par32-4.opb.msat.wcnf,inf
nuwls,60,2020,ms,ram_k3_n14.ra0.wcnf,21.0
nuwls,60,2020,ms,ram_k3_n16.ra0.wcnf,39.0
nuwls,60,2020,ms,ram_k3_n17.ra0.wcnf,50.0
nuwls,60,2020,ms,ram_k3_n18.ra0.wcnf,60.0
nuwls,60,2020,ms,ram_k3_n19.ra0.wcnf,75.0
nuwls,60,2020,ms,ram_k3_n20.ra0.wcnf,90.0
nuwls,60,2020,ms,ram_k4_n18.ra0.wcnf,9.0
nuwls,60,2020,ms,ram_k4_n20.ra0.wcnf,24.0
nuwls,60,2020,ms,ram_k4_n19.ra0.wcnf,15.0
nuwls,60,2020,ms,MANN_a27.clq.wcnf,404.0
nuwls,60,2020,ms,MANN_a45.clq.wcnf,418.0
nuwls,60,2020,ms,MANN_a9.clq.wcnf,422.0
nuwls,60,2020,ms,c-fat500-10.clq.wcnf,200.0
nuwls,60,2020,ms,hamming10-2.clq.wcnf,400.0
nuwls,60,2020,ms,hamming6-2.clq.wcnf,832.0
nuwls,60,2020,ms,hamming8-2.clq.wcnf,441.0
nuwls,60,2020,ms,johnson8-4-4.clq.wcnf,770.0
nuwls,60,2020,ms,meltdown_min.wcnf,inf
nuwls,60,2020,ms,spectre_min.wcnf,inf
nuwls,60,2020,ms,rev66-12.wcnf,inf
nuwls,60,2020,ms,rev66-14.wcnf,inf
nuwls,60,2020,ms,rev66-16.wcnf,inf
nuwls,60,2020,ms,rev66-18.wcnf,inf
nuwls,60,2020,ms,rev66-20.wcnf,inf
nuwls,60,2020,ms,rev66-22.wcnf,inf
nuwls,60,2020,ms,rev66-24.wcnf,inf
nuwls,60,2020,ms,rev66-26.wcnf,inf
nuwls,60,2020,ms,rev66-32.wcnf,inf
nuwls,60,2020,ms,rev66-28.wcnf,inf
nuwls,60,2020,ms,MinFill_R0_queen6_6.wcnf,235.0
nuwls,60,2020,ms,rev66-30.wcnf,inf
nuwls,60,2020,ms,MinFill_R0_myciel6.wcnf,1407.0
nuwls,60,2020,ms,MinFill_R0_queen7_7.wcnf,521.0
nuwls,60,2020,ms,MinFill_R0_queen8_8.wcnf,1060.0
nuwls,60,2020,ms,MinFill_R0_queen8_12.wcnf,2588.0
nuwls,60,2020,ms,MinFill_R0_queen11_11.wcnf,4564.0
nuwls,60,2020,ms,MinFill_R3_miles750.wcnf,2100.0
nuwls,60,2020,ms,MinFill_R0_queen9_9.wcnf,1733.0
nuwls,60,2020,ms,MinFill_R1_games120.wcnf,2129.0
nuwls,60,2020,ms,MinFill_R3_miles1000.wcnf,2767.0
nuwls,60,2020,ms,normalized-test4.pi.opb.msat.wcnf,100.0
nuwls,60,2020,ms,MinFill_R0_myciel7.wcnf,4604.0
nuwls,60,2020,ms,mul_8_11.wcnf,101.0
nuwls,60,2020,ms,MinFill_R4_miles500.wcnf,1210.0
nuwls,60,2020,ms,mul_8_13.wcnf,81.0
nuwls,60,2020,ms,mul_8_14.wcnf,79.0
nuwls,60,2020,ms,mul_8_9.wcnf,43.0
nuwls,60,2020,ms,g10_n13e12_n13e12_n14e13_n14e13_n14e13_n14e13_n14e13_n15e13_n15e14_n15e14.wcnf,1.0
nuwls,60,2020,ms,g2_n13e12_n46e57.wcnf,1.0
nuwls,60,2020,ms,g2_n35e34_n58e61.wcnf,21.0
nuwls,60,2020,ms,sbox_8.wcnf,inf
nuwls,60,2020,ms,g2_n42e55_n44e53.wcnf,33.0
nuwls,60,2020,ms,g2_n57e60_n61e85.wcnf,44.0
nuwls,60,2020,ms,g2_n61e68_n73e75.wcnf,50.0
nuwls,60,2020,ms,g2_n63e71_n74e99.wcnf,53.0
nuwls,60,2020,ms,g2_n67e83_n68e73.wcnf,52.0
nuwls,60,2020,ms,g3_n46e48_n58e61_n75e81.wcnf,35.0
nuwls,60,2020,ms,g4_n47e58_n55e66_n61e85_n67e83.wcnf,45.0
nuwls,60,2020,ms,g4_n56e84_n61e85_n62e78_n63e71.wcnf,74.0
nuwls,60,2020,wms,1407.wcsp.log.wcnf,459579.0
nuwls,60,2020,wms,BrazilInstance1.xml.wcnf,130.0
nuwls,60,2020,wms,BrazilInstance2.xml.wcnf,183.0
nuwls,60,2020,wms,BrazilInstance4.xml.wcnf,inf
nuwls,60,2020,wms,BrazilInstance5.xml.wcnf,490.0
nuwls,60,2020,wms,BrazilInstance6.xml.wcnf,599.0
nuwls,60,2020,wms,BrazilInstance7.xml.wcnf,902.0
nuwls,60,2020,wms,FinlandSecondarySchool.xml.wcnf,inf
nuwls,60,2020,wms,ItalyInstance4.xml.wcnf,12143.0
nuwls,60,2020,wms,MinWidthCB_milan_200_12_1k_10s_1t_12.wcnf,98670.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_100_43_1k_5s_2t_7.wcnf,31780.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_200_26_1k_2s_2t_4.wcnf,30645.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_200_43_1k_10s_2t_12.wcnf,40875.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_26_1k_6s_1t_8.wcnf,31515.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_26_1k_6s_2t_6.wcnf,28880.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_32_1k_15s_2t_17.wcnf,26515.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_32_1k_6s_1t_8.wcnf,32970.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_32_1k_6s_2t_8.wcnf,31110.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_43_1k_3s_1t_5.wcnf,47260.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_43_1k_3s_2t_3.wcnf,46235.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_64_1k_15s_2t_17.wcnf,60905.0
nuwls,60,2020,wms,MinWidthCB_mitdbsample_300_64_1k_6s_1t_8.wcnf,77155.0
nuwls,60,2020,wms,MinWidthCB_power_600_24_1k_12s_2t_14.wcnf,77757.0
nuwls,60,2020,wms,MultiDay_2_weighted.wcnf,505507.0
nuwls,60,2020,wms,MultiDay_3_weighted.wcnf,1172410.0
nuwls,60,2020,wms,MultiDay_4_weighted.wcnf,2244586.0
nuwls,60,2020,wms,Rounded_BTWBNSL_Flag.BIC_TWBound_2.wcnf,281237568.0
nuwls,60,2020,wms,Rounded_BTWBNSL_Housing_TWBound_2.wcnf,347191110.0
nuwls,60,2020,wms,Rounded_BTWBNSL_Voting_TWBound_3.wcnf,466846257.0
nuwls,60,2020,wms,Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_3.wcnf,54673145591.0
nuwls,60,2020,wms,Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_2.wcnf,5372141950.0
nuwls,60,2020,wms,Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,1444305262.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ecoli_BINARY_N220_D0.200.wcnf,14080440.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,18116629.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ecoli_BINARY_N280_D0.200.wcnf,29751487.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ecoli_BINARY_N300_D0.200.wcnf,30416578.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf,7495586.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Ionosphere_BINARY_N300_D0.200.wcnf,8791403.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein1_UNARY_N230.wcnf,21032961.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein1_UNARY_N250.wcnf,23307326.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein1_UNARY_N270.wcnf,25878479.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,32090014.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein2_BINARY_N400.wcnf,43481595.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein2_UNARY_N180.wcnf,10993996.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein2_UNARY_N200.wcnf,12821534.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,21300102.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein2_UNARY_N240.wcnf,27320032.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,19154505.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein3_UNARY_N240.wcnf,27415599.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein4_BINARY_N380.wcnf,18822365.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein3_UNARY_N300.wcnf,40500218.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,24579752.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf,5375689.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,75201247.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Vowel_BINARY_N760_D0.200.wcnf,82403102.0
nuwls,60,2020,wms,Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,86276967.0
nuwls,60,2020,wms,SingleDay_37_weighted.wcnf,45129373.0
nuwls,60,2020,wms,adult_train_3_CNF_4_5.wcnf,24097.0
nuwls,60,2020,wms,adult_train_0_CNF_5_20.wcnf,92807.0
nuwls,60,2020,wms,af-synthesis_stb_50_120_9.wcnf,115.0
nuwls,60,2020,wms,af-synthesis_stb_50_120_3.wcnf,102.0
nuwls,60,2020,wms,af-synthesis_stb_50_140_0.wcnf,123.0
nuwls,60,2020,wms,af-synthesis_stb_50_140_1.wcnf,127.0
nuwls,60,2020,wms,af-synthesis_stb_50_140_7.wcnf,109.0
nuwls,60,2020,wms,af-synthesis_stb_50_140_8.wcnf,115.0
nuwls,60,2020,wms,af-synthesis_stb_50_160_4.wcnf,131.0
nuwls,60,2020,wms,af-synthesis_stb_50_160_5.wcnf,118.0
nuwls,60,2020,wms,af-synthesis_stb_50_180_1.wcnf,135.0
nuwls,60,2020,wms,af-synthesis_stb_50_180_2.wcnf,124.0
nuwls,60,2020,wms,af-synthesis_stb_50_200_4.wcnf,108.0
nuwls,60,2020,wms,af-synthesis_stb_50_20_8.wcnf,124.0
nuwls,60,2020,wms,af-synthesis_stb_50_40_8.wcnf,120.0
nuwls,60,2020,wms,af-synthesis_stb_50_40_9.wcnf,135.0
nuwls,60,2020,wms,af-synthesis_stb_50_60_3.wcnf,115.0
nuwls,60,2020,wms,af-synthesis_stb_50_80_3.wcnf,115.0
nuwls,60,2020,wms,af-synthesis_stb_50_80_7.wcnf,118.0
nuwls,60,2020,wms,bf2030fvslack.wcnf,inf
nuwls,60,2020,wms,brock200_4.clq.wcnf,1105.0
nuwls,60,2020,wms,brock400_3.clq.wcnf,1259.0
nuwls,60,2020,wms,brock800_3.clq.wcnf,1079.0
nuwls,60,2020,wms,bnn_mnist_rot_7_label2_adversarial_norm_inf_totalizer.wcnf,inf
nuwls,60,2020,wms,causal_Autos_8_159.wcnf,1275067.0
nuwls,60,2020,wms,causal_Heart_10_212.wcnf,5166113.0
nuwls,60,2020,wms,causal_Horse_9_300.wcnf,2673130.0
nuwls,60,2020,wms,causal_Link_10_1000.wcnf,inf
nuwls,60,2020,wms,causal_Water_10_1000.wcnf,45193159.0
nuwls,60,2020,wms,causal_alarm_9_1000.wcnf,38803563.0
nuwls,60,2020,wms,causal_carpo_9_10000.wcnf,6007532.0
nuwls,60,2020,wms,causal_insurance_9_100.wcnf,4707228.0
nuwls,60,2020,wms,comp01.wcnf,inf
nuwls,60,2020,wms,comp02.wcnf,136.0
nuwls,60,2020,wms,comp05.wcnf,735.0
nuwls,60,2020,wms,channel-500x100x100-b050.wcnf,inf
nuwls,60,2020,wms,comp07.wcnf,735.0
nuwls,60,2020,wms,comp06.lp.sm-extracted.wcnf,4531.0
nuwls,60,2020,wms,comp09.wcnf,155.0
nuwls,60,2020,wms,comp12.wcnf,641.0
nuwls,60,2020,wms,comp15.wcnf,127.0
nuwls,60,2020,wms,comp18.wcnf,133.0
nuwls,60,2020,wms,comp21.wcnf,257.0
nuwls,60,2020,wms,compas_train_0_CNF_5_5.wcnf,10632.0
