solver,timeout_seconds,year,category,instance_name,cost
nuwls,60,2020,ms,postoperative-patient-data.wcnf,85.0
nuwls,60,2020,ms,haberman.wcnf,inf
nuwls,60,2020,ms,heart-statlog.wcnf,212.0
nuwls,60,2020,ms,hungarian.wcnf,228.0
nuwls,60,2020,ms,cleve.wcnf,251.0
nuwls,60,2020,ms,colic.wcnf,303.0
nuwls,60,2020,ms,heart-c.wcnf,241.0
nuwls,60,2020,ms,heart-h.wcnf,203.0
nuwls,60,2020,ms,liver-disorder.wcnf,325.0
nuwls,60,2020,ms,bupa.wcnf,329.0
nuwls,60,2020,ms,rsdecoder4.dimacs.filtered.wcnf,95.0
nuwls,60,2020,ms,soybean.wcnf,inf
nuwls,60,2020,ms,adult_train_3_CNF_5_1.wcnf,4344.0
nuwls,60,2020,ms,australian.wcnf,543.0
nuwls,60,2020,ms,rsdecoder6.dimacs.filtered.wcnf,88.0
nuwls,60,2020,ms,rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf,45.0
nuwls,60,2020,ms,SM_AS_TOP_buggy1.dimacs.filtered.wcnf,59.0
nuwls,60,2020,ms,wb_4m8s4.dimacs.filtered.wcnf,220.0
nuwls,60,2020,ms,GreeceWesternGreeceUniversityInstance4.xml.wcnf,167.0
nuwls,60,2020,ms,ecoli.wcnf,619.0
nuwls,60,2020,ms,SM_MAIN_MEM_buggy1.dimacs.filtered.wcnf,542.0
nuwls,60,2020,ms,diabetes.wcnf,656.0
nuwls,60,2020,ms,rsdecoder-problem.dimacs_38.filtered.wcnf,3.0
nuwls,60,2020,ms,wb_4m8s-problem.dimacs_47.filtered.wcnf,36.0
nuwls,60,2020,ms,rsdecoder-problem.dimacs_41.filtered.wcnf,2.0
nuwls,60,2020,ms,wb_4m8s-problem.dimacs_49.filtered.wcnf,235.0
nuwls,60,2020,ms,ms_260_20_20-1.wcnf,inf
nuwls,60,2020,ms,ms_120_20_20-0.wcnf,inf
nuwls,60,2020,ms,shuttleM.wcnf,inf
nuwls,60,2020,ms,ms_260_20_20-0.wcnf,inf
nuwls,60,2020,ms,ms_200_20_20-9.wcnf,inf
nuwls,60,2020,ms,ms_200_12_20-2.wcnf,inf
nuwls,60,2020,ms,compas_train_4_DNF_4_1.wcnf,2205.0
nuwls,60,2020,ms,credit_test_0_CNF_4_1.wcnf,529.0
